Vuosi,type,result,Sosialidemokraattinen Puolue,Perussuomalaiset,Kokoomus,Keskusta,Vihr,Vasemmistoliitto,Ruotsalainen Kansanpuolue,Kristillisdemokraatit,Liike Nyt,Remontti,Nuorsuomalaiset,Suomen Maaseudun Puolue,Kirjava Puolue,Liberaalinen Kansanpuolue,Suomen Kansan Demokraattinen Liitto,Demokraattinen Vaihtoehto,Perustuslaillinen Oikeistopuolue,SKYP,TPSL,Suomen Kansanpuolue,Vapaamielisten Liitto,Kansallinen Edistyspuolue,IKL,IKL + Kok.,PMP,SPP,Kansanpuolue,Ruotsalainen Vasemmisto,STPV,KrTL
2019,Europarlamenttivaalit,Kannatus,14.62,13.83,20.79,13.52,16,6.89,6.34,4.87,,,,,,,,,,,,,,,,,,,,,,
2019,Eduskuntavaalit,Kannatus,17.73,17.48,17,13.76,11.49,8.17,4.53,3.9,2.25,,,,,,,,,,,,,,,,,,,,,
2015,Eduskuntavaalit,Kannatus,16.51,17.65,18.2,21.1,8.53,7.13,4.88,3.54,,,,,,,,,,,,,,,,,,,,,,
2014,Europarlamenttivaalit,Kannatus,12.31,12.87,22.59,19.67,9.33,9.32,6.76,5.24,,,,,,,,,,,,,,,,,,,,,,
2011,Eduskuntavaalit,Kannatus,19.1,19.05,20.38,15.76,7.25,8.13,4.28,4.03,,,,,,,,,,,,,,,,,,,,,,
2009,Europarlamenttivaalit,Kannatus,17.54,9.79,23.21,19.03,12.4,5.93,6.09,4.17,,,,,,,,,,,,,,,,,,,,,,
2007,Eduskuntavaalit,Kannatus,21.44,4.05,22.26,23.11,8.46,8.82,4.57,4.86,,,,,,0.11,,,,,,,,,,,,,,,,
2004,Europarlamenttivaalit,Kannatus,21.16,0.54,23.71,23.37,10.43,9.13,5.7,4.28,,,,,,0.21,,,,,,,,,,,,,,,,
2003,Eduskuntavaalit,Kannatus,24.47,1.57,18.55,24.69,8.01,9.93,4.61,5.34,,,,,0.24,0.31,,,,,,,,,,,,,,,,
1999,Europarlamenttivaalit,Kannatus,17.86,0.79,25.27,21.3,13.43,9.08,6.77,2.39,,,,,2.35,,,,,,,,,,,,,,,,,
1999,Eduskuntavaalit,Kannatus,22.86,0.99,21.03,22.4,7.27,10.88,5.12,4.17,,1.06,1.05,,0.39,0.19,,,,,,,,,,,,,,,,
1996,Europarlamenttivaalit,Kannatus,21.45,0.67,20.17,24.36,7.59,10.51,5.75,2.81,,,,,,0.37,,,,,,,,,,,,,,,,
1995,Eduskuntavaalit,Kannatus,28.25,,17.89,19.85,6.52,11.16,5.14,2.96,,,2.81,1.3,0.28,0.58,,,,,,,,,,,,,,,,
1991,Eduskuntavaalit,Kannatus,22.12,,19.31,24.83,6.82,10.08,5.48,3.05,,,,4.85,0.14,0.78,,,0.28,,,,,,,,,,,,,
1987,Eduskuntavaalit,Kannatus,24.14,,23.13,17.62,4.03,,5.3,2.58,,,,6.32,,0.97,9.39,4.24,0.11,,,,,,,,,,,,,
1983,Eduskuntavaalit,Kannatus,26.71,,22.12,17.63,1.47,,4.61,3.03,,,,9.69,,,13.46,,0.37,0.08,,,,,,,,,,,,
1979,Eduskuntavaalit,Kannatus,23.89,,21.65,17.29,,,4.23,4.78,,,,4.58,,3.68,17.9,,1.21,0.32,,,,,,,,,,,,
1975,Eduskuntavaalit,Kannatus,24.86,,18.37,17.63,,,4.66,3.29,,,,3.59,,4.35,18.89,,1.58,1.65,,,,,,,,,,,,
1972,Eduskuntavaalit,Kannatus,25.78,,17.59,16.41,,,5.06,2.53,,,,9.16,,5.16,17.02,,,,0.99,,,,,,,,,,,
1970,Eduskuntavaalit,Kannatus,23.43,,18.05,17.12,,,5.34,1.13,,,,10.49,,5.95,16.58,,,,1.4,,,,,,,,,,,
1966,Eduskuntavaalit,Kannatus,27.23,,13.79,21.23,,,5.69,0.45,,,,1.03,,6.47,21.2,,,,2.59,,,,,,,,,,,
1962,Eduskuntavaalit,Kannatus,19.5,,15.06,22.95,,,6.11,,,,,2.16,,,22.02,,,,4.36,6.34,0.52,,,,,,,,,
1958,Eduskuntavaalit,Kannatus,23.12,,15.28,23.06,,,6.5,0.17,,,,,,,23.16,,,,1.75,5.9,0.32,,,,,,,,,
1954,Eduskuntavaalit,Kannatus,26.25,,12.8,24.1,,,6.76,,,,,,,,21.57,,,,,7.88,0.34,,,,0.05,,,,,
1951,Eduskuntavaalit,Kannatus,26.52,,14.57,23.26,,,7.2,,,,,,,,21.58,,,,,5.68,0.27,,,,0.27,,,0.07,,
1948,Eduskuntavaalit,Kannatus,26.32,,17.04,24.24,,,7.34,,,,,,,,19.98,,,,,,,3.91,,,0.29,,,,,
1945,Eduskuntavaalit,Kannatus,25.08,,15.04,21.35,,,7.9,,,,,,,,23.47,,,,,,,5.17,,,1.18,,,0.48,,
1939,Eduskuntavaalit,Kannatus,39.77,,13.58,22.86,,,9.61,,,,,,,,,,,,,,,4.81,6.65,,2.14,,,0.46,,
1936,Eduskuntavaalit,Kannatus,38.59,,10.36,22.41,,,11.2,,,,,,,,,,,,,,,6.28,8.34,,,1.97,0.63,,,
1933,Eduskuntavaalit,Kannatus,37.33,,,22.54,,,10.42,,,,,,,,,,,,,,,7.41,,16.93,,3.39,0.85,,,
1930,Eduskuntavaalit,Kannatus,34.16,,18.05,27.28,,,10.03,,,,,,,,,,,,,,,5.83,,,,1.85,,0.82,,
1929,Eduskuntavaalit,Kannatus,27.36,,14.51,26.15,,,11.45,,,,,,,,,,,,,,,5.6,,,,1.08,,,13.47,
1927,Eduskuntavaalit,Kannatus,28.3,,17.74,22.56,,,12.2,,,,,,,,,,,,,,,6.77,,,,,,,12.08,
1924,Eduskuntavaalit,Kannatus,29.02,,18.99,20.25,,,12.03,,,,,,,,,,,,,,,9.09,,,,,,,10.45,
1922,Eduskuntavaalit,Kannatus,25.06,,18.15,20.27,,,12.41,,,,,,,,,,,,,,,9.21,,,,,,,14.81,
1919,Eduskuntavaalit,Kannatus,37.98,,15.71,19.7,,,12.13,,,,,,,,,,,,,,,12.81,,,,,,,,1.53
2019,Europarlamenttivaalit,Paikat,2,2,3,2,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,
2019,Eduskuntavaalit,Paikat,40,39,38,31,20,16,9,5,1,,,,,,,,,,,,,,,,,,,,,
2015,Eduskuntavaalit,Paikat,34,38,37,49,15,12,9,5,,,,,,,,,,,,,,,,,,,,,,
2014,Europarlamenttivaalit,Paikat,2,2,3,3,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2011,Eduskuntavaalit,Paikat,42,39,44,35,10,14,9,6,,,,,,,,,,,,,,,,,,,,,,
2009,Europarlamenttivaalit,Paikat,2,1,3,3,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,
2007,Eduskuntavaalit,Paikat,45,5,50,51,15,17,9,7,,,,,,0,,,,,,,,,,,,,,,,
